STATUS - Requerimento,ANO  SOLICITAÇÃO,PAÍS DE ORIGEM,GÊNERO,ANO DE NASCIMENTO,CIDADE SOLICITAÇÃO,DATA DA  DECISÃO
DEFERIDO,2018,VENEZUELA,M,1993,RIO DE JANEIRO,2020-01-31
DEFERIDO,2017,VENEZUELA,M,1994,SÃO PAULO,2020-01-31
DEFERIDO,2013,VENEZUELA,M,1981,MANAUS,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1969,SÃO PAULO,2020-01-31
DEFERIDO,2018,VENEZUELA,F,1968,SÃO PAULO,2020-01-31
DEFERIDO,2017,VENEZUELA,M,1967,SÃO PAULO,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1986,BOA VISTA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1986,BOA VISTA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1986,BOA VISTA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1986,BOA VISTA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1986,BOA VISTA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1986,BOA VISTA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1986,BOA VISTA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1986,BOA VISTA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1986,BOA VISTA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1986,BOA VISTA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1986,BOA VISTA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1986,BOA VISTA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1986,BOA VISTA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1986,BOA VISTA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1997,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1993,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1993,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1993,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1993,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1993,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1993,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1993,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1993,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1993,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1993,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1993,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1993,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1993,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1993,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1993,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1993,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1993,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1993,PACARAIMA,2020-01-31
DEFERIDO,2019,VENEZUELA,M,1993,PACARAIMA,2020-01-31
